Status,State,Name,Hospital Provider Number,Street Address,Suburb,Postcode,Second-tier Eligible (Yes/No),Second-tier Expiry Date,"Second-tier Category",Circular,"The Commonwealth Minister for Health, or delegate, has declared the facility to be a neo-natal facility, consistent with Section 3(2) of the Health Insurance Act 1973. (This column is not complete and is still being populated)"
PUBLIC,VIC,EAST WIMMERA HEALTH SERVICE - CHARLTON,0031940J,4 MENZIES STREET,CHARLTON,3525,NO,,,,
PUBLIC,VIC,EAST WIMMERA HEALTH SERVICE - DONALD,0030350W,7 AITKEN AVENUE,DONALD,3480,NO,,,,
PUBLIC,VIC,EAST WIMMERA HEALTH SERVICE - ST ARNAUD,0034770J,52 NORTH WESTERN ROAD,ST ARNAUD,3478,NO,,,,
PUBLIC,VIC,EAST WIMMERA HEALTH SERVICE - WYCHEPROOF,0031420K,19 GRANDVIEW STREET,WYCHEPROOF,3527,NO,,,,
PRIVATE,QLD,EASTERN ENDOSCOPY CENTRE,0057060F,120 BIRKDALE ROAD,BIRKDALE,4159,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 59/19; 77/22,
PUBLIC,SA,EASTERN EYRE HEALTH AND AGED CARE - CLEVE CAMPUS,0060140A,NORTH TERRACE,CLEVE,5640,NO,,,,
PUBLIC,SA,EASTERN EYRE HEALTH AND AGED CARE - COWELL CAMPUS,0060150Y,17 SOUTH TERRACE,COWELL,5602,NO,,,,
PUBLIC,SA,EASTERN EYRE HEALTH AND AGED CARE - KIMBA CAMPUS,0060260T,15 MARTIN TERRACE,KIMBA,5641,NO,,,,
PUBLIC,VIC,EASTERN HEALTH BLACKBURN PUBLIC SURGICAL CENTRE ,0032200T,188 - 198 CANTERBURY ROAD,BLACKBURN,3130,NO,,,PHI 66/22,
PRIVATE,NSW,EASTERN HEART CLINIC,0657471B,"LEVEL 3, CAMPUS CENTRE BUILDING, PRINCE OF WALES CAMPUS, BARKER STREET",RANDWICK,2031,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,NSW,EASTERN SUBURBS PRIVATE HOSPITAL,0015860J,8 CHAPEL STREET,RANDWICK,2031,YES,01-08-26,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)",PHI 05/24,
PRIVATE,VIC,EASTSIDE ENDOSCOPY CENTRE,0043610W,33 WANTIRNA ROAD,RINGWOOD,3134,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,SA,EASTWOOD PRIVATE HOSPITAL,0065950T,204 GREENHILL ROAD,EASTWOOD,5063,YES,21-02-27,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 52/25; 62/25,
PUBLIC,VIC,ECHUCA REGIONAL HEALTH,0030380K,9-27 FRANCIS STREET,ECHUCA,3564,NO,,,,
PRIVATE,QLD,EDEN PRIVATE HOSPITAL,0056010A,50 MAPLE STREET,COOROY,4563,YES,14-10-28,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)",PHI 29/19; 43/19; 14/21; 18/23; 24/25; 74/25,
PUBLIC,VIC,EDENHOPE AND DISTRICT MEMORIAL HOSPITAL,0030390J,128-134 ELIZABETH STREET,EDENHOPE,3318,NO,,,,
PUBLIC,QLD,EIDSVOLD MULTIPURPOSE HEALTH SERVICE,0050420J,CRACOW ROAD,EIDSVOLD,4627,NO,,,PHI 63/19,
PUBLIC,QLD,ELLEN BARRON FAMILY CENTRE,0051990K,526 HAMILTON ROAD,CHERMSIDE,4032,NO,,,,
PUBLIC,SA,ELLISTON HOSPITAL,0060180T,4-6 MEMORIAL DRIVE,ELLISTON,5670,NO,,,,
PUBLIC,QLD,EMERALD HOSPITAL,0050430H,69 HOSPITAL ROAD,EMERALD,4720,NO,,,PHI 63/19,
PUBLIC,NSW,EMMAVILLE - VEGETABLE CREEK RESIDENTIAL AGED CARE,0012240W,13-33 GLEN INNES ROAD,EMMAVILLE,2371,NO,,,,
PRIVATE,NSW,EPPING SURGERY CENTRE,0027190Y,34 BORONIA AVENUE,EPPING,2121,YES,26-07-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 29/19; 54/20; 39/21; 35/22; 56/24,
PRIVATE,VIC,EPWORTH CAMBERWELL,0036310Y,888 TOORAK ROAD,CAMBERWELL,3124,YES,29-01-28,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 43/19; 03/20; 05/21; 26/22; 53/23; 92/24,
PRIVATE,VIC,EPWORTH EASTERN,0036850T,"1 ARNOLD STREET, BOX HILL (MAIN CAMPUS)  & 116-118 THAMES  STREET, BOX HILL NORTH (EKERA CAMPUS)",BOX HILL,3128,YES,29-01-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit","PHI 43/19; 46/19; 57/19, 69/19; 03/21; 26/22; 68/22; 92/24",
PRIVATE,VIC,EPWORTH FREEMASONS,0035290W,109 ALBERT STREET & 320 VICTORIA PARADE,EAST MELBOURNE,3002,YES,29-01-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 43/19; 51/20; 03/21; 26/22; 63/22; 92/24,
PRIVATE,VIC,EPWORTH GEELONG,0036950K,1 EPWORTH PLACE,WAURN PONDS,3216,YES,29-01-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 43/19; 87/21; 92/24,
PRIVATE,VIC,EPWORTH HAWTHORN,0036900Y,46-52 BURWOOD ROAD,HAWTHORN,3122,YES,29-01-28,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 43/19; 03/20; 03/21; 26/22; 92/24,
PRIVATE,VIC,EPWORTH RICHMOND,0035260A,89 BRIDGE ROAD,RICHMOND,3121,YES,29-01-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 43/19; 03/20; 03/21; 26/22; 92/24,
PUBLIC,QLD,ESK HOSPITAL,0050440F,30 HIGHLAND STREET,ESK,4312,NO,,,PHI 69/19,
PUBLIC,WA,ESPERANCE HOSPITAL,0070280W,HICKS STREET,ESPERANCE,6450,NO,,,,
PUBLIC,TAS,ESPERANCE MULTI PURPOSE CENTRE,0085160L,15 CHAPMAN AVENUE,DOVER,7117,NO,,,,
PRIVATE,VIC,ESSENDON DAY PROCEDURE CENTRE,0043700T,"LEVEL 1, 665 MOUNT ALEXANDER ROAD",MOONEE PONDS,3039,YES,02-04-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 26/19; 03/20; 07/22; 23/23,
PRIVATE,VIC,ESSENDON PRIVATE CLINIC,0036140A,35 ROSEHILL ROAD,ESSENDON WEST,3040,YES,29-08-28,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)",PHI 06/20; 39/21; 41/24; 68/25,
PRIVATE,WA,ESUS CENTRE,0075770B,588 HAY STREET ,SUBIACO,6008,YES,09-11-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 21/24; 31/24,
PUBLIC,SA,EUDUNDA HOSPITAL,0060190L,40 WARD STREET,EUDUNDA,5374,NO,,,,
PUBLIC,NSW,EUGOWRA MEMORIAL MULTI PURPOSE SERVICE,0011200K,COOPER STREET,EUGOWRA,2806,NO,,,,
PRIVATE,VIC,EUROA HEALTH,0035270Y,36 KENNEDY STREET,EUROA,3666,NO,,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",,
PRIVATE,NSW,EXCEL ENDOSCOPY CENTRE,0658051T,490 CANTERBURY ROAD,CAMPSIE,2194,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PUBLIC,WA,EXMOUTH HOSPITAL,0071100H,LYONS STREET,EXMOUTH,6707,NO,,,,
PRIVATE,QLD,EYE-TECH DAY SURGERIES,0899091B,"LEVELS 3 & 5, ST ANDREW'S PLACE, 33 NORTH STREET",SPRING HILL,4000,YES,05-05-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 59/19; 29/20; 80/21; 32/23; 48/23; 34/24,
PRIVATE,QLD,EYE-TECH DAY SURGERIES SOUTHSIDE,0057260X,22-26 SANDERS STREET,UPPER MOUNT GRAVATT,4122,YES,06-05-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 29/20; 80/21; 32/23,
PUBLIC,NSW,FAIRFIELD HOSPITAL,0010110Y,340 PRAIRIE VALE ROAD,PRAIRIEWOOD,2176,NO,,,,
PRIVATE,NSW,FAMILY PLANNING NSW,0027660H,8 HOLKER STREET,NEWINGTON,2127,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 72/22,
PRIVATE,QLD,FAR NORTH DAY HOSPITAL,0056090H,"GROUND LEVELS 2,3 & 4, 58-60 McLEOD STREET",CAIRNS,4870,YES,02-12-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 46/18; 59/19; 82/19; 77/22; 80/22; 84/23,
PUBLIC,SA,FAR NORTH HEALTH SERVICES,0060740Y,LOT 89 HOSPITAL ROAD,COOBER PEDY,5723,NO,,,,
PRIVATE,VIC,FERTILITY CONTROL CLINIC,0043510Y,116-118 WELLINGTON PARADE,EAST MELBOURNE,3002,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,NSW,FIGTREE PRIVATE HOSPITAL,0016950Y,1 SUTTOR PLACE,FIGTREE,2525,YES,24-08-26,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)",PHI 19/20; 26/22; 69/23,
PUBLIC,NSW,FINLEY HOSPITAL & COMMUNITY HEALTH CARE,0011210J,20-22 DAWE STREET,FINLEY,2713,NO,,,PHI 69/19,
PUBLIC,WA,FIONA STANLEY HOSPITAL,0071610H,"102-118 MURDOCH DRIVE (1 HONOUR WAY, COCKBURN CENTRAL WA 6164)",MURDOCH,6150,NO,,,PHI 69/24,
PRIVATE,QLD,FITZROY COMMUNITY HOSPICE,0056300L,38 AGNES STREET,THE RANGE,4700,YES,14-02-26,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 38/24; 50/24,
PUBLIC,WA,FITZROY CROSSING HOSPITAL,0070290T,FALLON ROAD,FITZROY CROSSING,6765,NO,,,,
PRIVATE,WA,FITZROY CROSSING RENAL HEALTH CENTRE,0075810K,52 FALLON ROAD,FITZROY CROSSING,6765,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 66/25,
PUBLIC,TAS,FLINDERS ISLAND MULTI PURPOSE CENTRE,0080270B,4 JAMES STREET,WHITEMARK,7255,NO,,,,
PUBLIC,SA,FLINDERS MEDICAL CENTRE,0060760W,FLINDERS DRIVE,BEDFORD PARK,5042,NO,,,PHI 29/19; 72/25,
PRIVATE,SA,FLINDERS PRIVATE HOSPITAL,0065930X,1 FLINDERS DRIVE,BEDFORD PARK,5042,YES,16-11-26,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 30/20; 14/23; 15/24,
PRIVATE,QLD,FMC DIALYSIS CLINIC NORTH LAKES,0057500X,"T301-T305, SPECIALIST MEDICAL CENTRE, 6 NORTH LAKES DRIVE",NORTH LAKES,4509,NO,01-02-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 63/22; 06/23; 11/25,
PRIVATE,NSW,FOCUS EYE CENTRE,0657031F,2 MIDDLE STREET,KINGSFORD,2032,YES,18-05-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 22/20; 18/23; 23/24,
PRIVATE,VIC,FOOTSCRAY DAY SURGERY,0656351X,89 PAISLEY STREET,FOOTSCRAY,3011,YES,02-04-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 15/20; 21/21; 32/23; 23/24,
PUBLIC,VIC,FOOTSCRAY HOSPITAL,0031850K,160 GORDON STREET,FOOTSCRAY,3011,NO,,,PHI 65/25,
PUBLIC,NSW,FORBES DISTRICT HOSPITAL,0011220H,12-14 ELGIN STREET,FORBES,2871,NO,,,,
PRIVATE,VIC,FOREST HILL DIALYSIS CLINIC,0043630L,"SHOPS 26 & 27 FOREST HILL CHASE, 69 MAHONEYS ROAD",FOREST HILL,3131,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,NSW,FOREST ROAD DAY SURGERY,0657381F,99A FOREST ROAD,HURSTVILLE,2220,YES,04-06-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 36/20; 53/23; 34/24,
PRIVATE,NSW,FORSTER PRIVATE HOSPITAL,0015250L,5A SOUTH STREET,FORSTER,2428,YES,25-05-28,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 29/19; 24/21; 26/22; 45/25,
PRIVATE,VIC,FRANCES PERRY HOUSE,0036740Y,CNR GRATTAN STREET & FLEMINGTON ROAD,PARKVILLE,3052,YES,01-06-28,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 90/20; 11/24; PHI 18/24; 50/25; 58/25; 62/25,
PRIVATE,NSW,FRANCIS STREET OPHTHALMIC DAY PROCEDURE CENTRE,0834411H,112 FRANCIS STREET,RICHMOND,2753,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PUBLIC,VIC,FRANKSTON HOSPITAL,0030460K,2 HASTINGS ROAD,FRANKSTON,3199,NO,,,,
PUBLIC,VIC,FRANKSTON PUBLIC SURGICAL CENTRE,0032190A,5 SUSONO WAY,FRANKSTON,3199,NO,,,PHI 53/22,
PRIVATE,QLD,FRASER COAST HOSPICE,0056250H,222 URRAWEEN ROAD,URRAWEEN,4655,YES,24-01-26,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 13/22; 22/22; 48/23,
PUBLIC,WA,FREMANTLE HOSPITAL AND HEALTH SERVICE,0070010W,ALMA STREET,FREMANTLE,6160,NO,,,,
PRIVATE,NSW,FRESENIUS LIVERPOOL PRIVATE DIALYSIS CLINIC,0027490J,"LEVEL 2, 26 CASTLEREAGH STREET",LIVERPOOL,2170,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,NSW,FRESHWATER DAY SURGERY,0656991J,10 DALE STREET,BROOKVALE,2100,YES,12-07-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 73/21; 22/22; 35/22; 37/25; 50/25,
PRIVATE,QLD,FRIENDLY SOCIETY PRIVATE HOSPITAL,0055190K,19-23 BINGERA STREET,BUNDABERG WEST,4670,YES,01-03-26,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 29/19; 08/22; 82/24; 15/25,
PRIVATE,NSW,GATEWAY DAY HOSPITAL,0027590F,"LEVEL 18, GATEWAY TOWER, 1 MACQUARIE PLACE",SYDNEY,2000,YES,26-01-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 77/19; 24/21; 01/24,
PUBLIC,QLD,GATTON HOSPITAL,0051530W,97-103 WILLIAM STREET,GATTON,4343,NO,,,,
PUBLIC,SA,GAWLER HEALTH SERVICE,0060200F,21 HUTCHINSON ROAD,GAWLER EAST,5118,NO,,,,
PUBLIC,QLD,GAYNDAH HOSPITAL,0050460A,69 WARTON STREET,GAYNDAH,4625,NO,,,,
PRIVATE,VIC,GEELONG DAY SURGERY,0044330W,21-29 PRINCESS HIGHWAY,NORLANE,3214,YES,21-07-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 26/24; 48/24,
PRIVATE,ACT,GENEA CANBERRA,0095110H,SUITE 17B AND UNIT 28/2 KING STREET,DEAKIN,2600,YES,31-07-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 30/22; 53/23,
PRIVATE,NSW,GENEA DAY SURGERY,0747341X,"LEVEL 4, 321 KENT STREET",SYDNEY,2000,YES,30-06-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 30/22; 34/23; 53/23,
PRIVATE,NSW,GENEA LIVERPOOL,0026990X,173-175 BIGGE STREET,LIVERPOOL,2170,YES,20-08-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 30/22; 53/23,
PRIVATE,NSW,GENEA NORTHWEST,0017340W,"LEVEL 1, SUITE 101, 10 NORBRICK DRIVE",BELLA VISTA,2153,YES,08-07-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 30/22; 34/23; 53/23,
PRIVATE,NSW,GENESIS CARE RADIATION ONCOLOGY CENTRE ALBURY WODONGA,0027500A,CORNER BORELLA RD AND EAST ST,ALBURY,2640,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,VIC,GENESIS CARE RADIATION ONCOLOGY CENTRE AT CABRINI,0044150Y,183 WATTLETREE ROAD,MALVERN,3144,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,VIC,GENESIS CARE RADIATION ONCOLOGY CENTRE ST VINCENT'S HOSPITAL MELBOURNE,0044120F,41 VICTORIA PARADE,FITZROY,3065,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,WA,GENESIS CARE SHENTON HOUSE,0075680F,57 SHENTON AVENUE,JOONDALUP,6027,YES,24-05-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 26/19; 63/20; 84/23; 33/25,
PRIVATE,NSW,GENESISCARE CAMPBELLTOWN,0017730B,38 CAMDEN ROAD,CAMPBELLTOWN ,2560,YES,11-11-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 27/24; 69/24,
PRIVATE,NSW,GENESISCARE FRENCHS FOREST,0017350T,49 FRENCHS FOREST EAST,FRENCHS FOREST,2086,NO,14-12-24,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 54/20; 76/21; 78/23; 07/25,
PRIVATE,NSW,GENESISCARE HURSTVILLE,0027570J,"LEVEL B2 AND 6, 31 DORA STREET",HURSTVILLE,2220,NO,18-06-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 53/19; 55/19; 22/20; 39/21; 05/24; 11/24; 58/25,
PRIVATE,NSW,GENESISCARE KINGSWOOD,0017610K,29-33 DERBY STREET AND 38 SOMERSET STREET,KINGSWOOD,2747,NO,18-01-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 45/20; 54/20; 89/21; 11/25,
PRIVATE,NSW,GENESISCARE MAITLAND,0027630L,30 METFORD ROAD,EAST MAITLAND,2323,YES,19-03-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 42/22; 50/22; 53/23,
PRIVATE,WA,GENESISCARE MANDURAH,0075740J,UNIT 3/35 MINILYA PARKWAY,MANDURAH,6210,YES,25-01-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 71/20; 82/20; 20/21; 27/21; 11/24,
PRIVATE,NSW,GENESISCARE NORTH SHORE,0027320F,7 WESTBOURNE STREET,ST LEONARDS,2065,NO,14-12-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 62/20; 55/21; 89/21,
PRIVATE,VIC,GENESISCARE RADIATION ONCOLOGY CENTRE SHEPPARTON,0037040X,124 CORIO STREET,SHEPPARTON,3630,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 78/19,
PRIVATE,SA,GENESISCARE WESTERN HOSPITAL,0065960L,168 CUDMORE TERRACE,HENLEY BEACH,5022,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 71/25,
PUBLIC,TAS,GEORGE TOWN HOSPITAL AND COMMUNITY CENTRE,0080450Y,47 ANNE STREET,GEORGE TOWN,7253,NO,,,,
PUBLIC,WA,GERALDTON HOSPITAL,0071130A,51-85 SHENTON STREET,GERALDTON,6530,NO,,,,
PRIVATE,VIC,GIH ACCESS ENDOSCOPY,0037060T,"LEVEL 1, 445 PRINCES HIGHWAY",OFFICER,3809,YES,12-06-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 15/20; 63/20; 80/21; 53/23,
PUBLIC,NSW,GILGANDRA MULTI PURPOSE SERVICE,0011230F,6 CHELMSFORD AVENUE,GILGANDRA,2827,NO,,,,
PUBLIC,QLD,GIN GIN HOSPITAL,0050480X,5 KING STREET,GIN GIN,4671,NO,,,,
PUBLIC,VIC,GIPPSLAND SOUTHERN HEALTH SERVICE - KORUMBURRA CAMPUS,0030580B,69-75 BRIDGE STREET,KORUMBURRA,3950,NO,,,,
PUBLIC,VIC,GIPPSLAND SOUTHERN HEALTH SERVICE - LEONGATHA CAMPUS,0031410L,66 KOONAWARRA ROAD,LEONGATHA,3953,NO,,,,
PUBLIC,QLD,GLADSTONE HOSPITAL,0050490W,PARK STREET,GLADSTONE,4680,NO,,,,
PRIVATE,VIC,GLEN EIRA DAY SURGERY,0043710L,544 HAWTHORN ROAD,CAULFIELD SOUTH,3162,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 77/18,
PUBLIC,NSW,GLEN INNES DISTRICT HOSPITAL,0011240B,94 TAYLOR STREET,GLEN INNES,2370,NO,,,,
PRIVATE,VIC,GLEN IRIS PRIVATE,0043970T,314 WARRIGAL ROAD,GLEN IRIS,3146,YES,27-08-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 82/19; 06/20; 33/21; 34/24; 58/25,
PRIVATE,SA,GLEN OSMOND SURGICENTRE,0879791H,45 GLEN OSMOND ROAD,EASTWOOD,5063,NO,24-12-19,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 05/20,
PRIVATE,SA,GLENELG COMMUNITY HOSPITAL INC,0065110K,5 FARRELL STREET,GLENELG SOUTH,5045,YES,27-05-27,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 76/21; 48/23; 56/24; 60/24,
PRIVATE,SA,GLENELG DAY SURGERY,0657221Y,24 GORDON STREET,GLENELG,5045,YES,15-05-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 59/19; 28/20; 77/22; 31/24,
PRIVATE,WA,GLENGARRY PRIVATE HOSPITAL,0075410F,53 ARNISDALE ROAD,DUNCRAIG,6023,YES,10-02-27,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 32/20; 63/22; 15/24,
PUBLIC,SA,GLENSIDE HEALTH SERVICES,0060870K,KARRAYARTA DRIVE,GLENSIDE,5065,NO,,,PHI 17/20; 72/25,
PUBLIC,NSW,GLOUCESTER SOLDIERS MEMORIAL HOSPITAL,0011250A,166-182 CHURCH STREET,GLOUCESTER,2422,NO,,,,
PUBLIC,WA,GNOWANGERUP HOSPITAL,0070330A,YOUGENUP ROAD,GNOWANGERUP,6335,NO,,,,
PRIVATE,QLD,GOLD COAST EYE HOSPITAL,0057360T,"TENANCY 4110, LEVEL 3, ROBINA TOWN CENTRE DRIVE",ROBINA TOWN CENTRE,4230,YES,22-01-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 33/20; 35/21; 77/22; 04/24,
PRIVATE,QLD,GOLD COAST PRIVATE HOSPITAL,0055730Y,14 HILL STREET,SOUTHPORT,4215,YES,21-03-27,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 36/20; 34/23; 57/23; 18/24,
PUBLIC,QLD,GOLD COAST UNIVERSITY HOSPITAL,0051930A,1 HOSPITAL BOULEVARD,SOUTHPORT,4215,NO,,,,
PUBLIC,VIC,GOLF LINKS ROAD REHABILITATION CENTRE,0032080H,125 GOLF LINKS ROAD,FRANKSTON,3199,NO,,,,
PUBLIC,NSW,GOODOOGA HOSPITAL,0011260Y,49 HAMMOND STREET,GOODOOGA,2831,NO,,,,
PUBLIC,WA,GOOMALLING HOSPITAL,0070320B,FORREST STREET,GOOMALLING,6460,NO,,,,
PRIVATE,VIC,GOONAWARRA DAY HOSPITAL,0036910X,1-11 DORNOCH DRIVE,SUNBURY,3429,YES,05-06-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 17/20; 49/21; 48/23; 45/25,
PUBLIC,QLD,GOONDIWINDI HOSPITAL,0050500J,BOWEN STREET,GOONDIWINDI,4390,NO,,,,
PRIVATE,NSW,GORDON PRIVATE HOSPITAL,0017580A,746-748 PACIFIC HIGHWAY,GORDON,2072,YES,25-12-26,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)",PHI 42/18; 82/19; 41/22; 01/24,
PUBLIC,QLD,GORDONVALE HOSPITAL,0050510H,1-11 HIGHLEIGH ROAD,GORDONVALE,4865,NO,,,PHI 77/19,
PUBLIC,NSW,GOSFORD HOSPITAL,0011270X,60 HOLDEN STREET,GOSFORD,2250,NO,,,PHI 70/25,
PRIVATE,NSW,GOSFORD PRIVATE HOSPITAL,0016990L,BURRABIL AVENUE,GOSFORD,2250,NO,21-05-25,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 28/20; 34/23; 57/23; 69/23; 45/25,
PRIVATE,NSW,GOSFORD SPECIALIST DAY HOSPITAL,0017750Y,"1 & 2, 131 HENRY PARRY DRIVE",GOSFORD,2250,YES,15-08-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 80/24; 07/25,
PUBLIC,NSW,GOULBURN BASE HOSPITAL,0011280W,130 GOLDSMITH STREET,GOULBURN,2580,NO,,,,
PUBLIC,VIC,GOULBURN VALLEY HEALTH - CENTRE FOR OLDER PERSONS,0032090F,CNR KNIGHT & ORR STREETS,SHEPPARTON,3630,NO,,,,
PUBLIC,VIC,GOULBURN VALLEY HEALTH - SHEPPARTON CAMPUS,0030710J,2 GRAHAM STREET,SHEPPARTON,3630,NO,,,,
PUBLIC,VIC,GOULBURN VALLEY HEALTH - TATURA CAMPUS,0030710J,64-68 PARK STREET,TATURA,3616,NO,,,,
PUBLIC,VIC,GOULBURN VALLEY HEALTH - WARANGA CAMPUS,0031260K,14 COYLE STREET,RUSHWORTH,3612,NO,,,,
PUBLIC,NT,GOVE DISTRICT HOSPITAL,0095050B,80 MATTHEW FLINDERS WAY,NHULUNBUY,880,NO,,,,
PUBLIC,NSW,GOWER WILSON MULTI PURPOSE SERVICE,0011290T,LAGOON RD,LORD HOWE ISLAND,2398,NO,,,,
